ID,TARGET
64252,286916.90137161996
31278,325215.838243245
148245,238195.91579305253
133657,443110.05573243153
68463,49307.23831774609
30962,996595.3040407829
38057,71827.56619270693
62257,227906.90194772306
26411,145804.44648303388
17652,1258913.607074285
6929,42429.23271668365
137732,-5300.9631920834945
54299,866441.211508126
91117,246243.03645533073
40426,801030.8047176034
36444,198733.15261501615
106938,289898.52779022924
85915,105022.63782015647
42445,332695.38922483096
63017,188856.6434685206
96111,235024.9691680767
114467,146288.9264463209
118351,-63518.6686444768
109204,982893.6214576897
129280,800035.9364072268
135693,98553.04346471775
112309,1271361.4841238046
134418,400163.10064457305
9381,397280.9121169
78267,132334.7049897983
97006,577196.3310977449
95941,1146475.1273841371
143184,379380.4617412332
65959,303090.9115586277
35766,-394135.74299125106
76784,438761.0430744391
40910,206647.2813099189
71431,74283.31438713917
56610,68964.59194348357
19292,1364117.6534374016
68612,32483.490306684165
91185,960129.0876929015
71151,173979.7649781304
118783,-68865.92168474325
58612,552443.1145339904
116909,218188.9930044351
46324,-25995.218719537253
40201,1172876.0001696704
127099,247338.49972293555
93790,100156.48898099642
128846,174316.9763458887
95061,681136.2285402901
36742,-30029.38529753918
98568,245819.34435948287
92901,118246.8736640999
119724,9731404.170647144
20169,67910.21278917714
107394,445668.4398544605
141688,348266.282895404
106474,626164.6396905852
65604,1244149.1558962131
88610,668037.8313610172
102750,921453.83420762
580,93484.59380716021
74232,440629.2948671128
105303,587613.8785137152
112312,682227.618353195
42773,266394.7702395707
151497,753594.4321497476
94715,153996.83594632644
7981,173976.13464506163
34471,665957.4162330355
82374,60982.31149911543
130067,305111.6319967274
103026,617866.8753076601
68783,191272.9203201962
5301,-240091.8723389419
41004,695771.444564159
59182,580359.4795338945
25357,1322035.4273451327
93905,14214.635443059378
47744,-19572.39099375566
2993,-72892.80190332269
58805,429326.06873336696
128035,634003.0641278555
37342,449995.91719390504
38885,174974.3918911685
113353,98112.92622754333
20353,397723.47768007865
130061,197796.14264321286
12286,767733.6836174906
30751,-175263.55383595967
35562,232218.5867220086
53797,175088.76046979154
8553,202859.0788540226
27600,99378.72610782908
112408,540881.3833516324
112876,43119.59218976181
29293,1074226.4067191957
107758,27515.48193395906
94923,364138.3514221758
13646,783936.5324223258
52932,134278.8114473421
353,1338023.593541263
114420,609523.618353195
16000,1865319.0609486627
90789,523075.2405875973
92102,567455.8049844415
60655,530591.5193791918
18038,50446.18341265089
102420,302814.60661621374
113647,193417.52318849246
143686,-2497.8529489720822
92709,246002.94348024984
54963,1277960.0841444596
38307,1011812.1219508185
74383,729007.4973613718
15423,240082.12207688816
31644,49516.31815833849
40628,635052.3420356414
12287,557148.9915525913
146000,106978.86848986894
102115,1041265.6300233288
100598,1180153.0280067143
124141,563103.0896383354
2604,332791.9430666754
76952,657106.6709877793
103744,306976.25436842494
32128,891493.4100578281
93490,851434.421757285
38848,680770.1356288532
60298,730260.0978591444
46379,1040807.8086562718
27794,532884.9251869239
94452,525923.037914247
109986,831487.245590498
81482,-1157201.5914593711
85446,97771.11028265575
100482,595932.2494075825
7056,741914.5236082894
30991,70568.2560108988
20208,635902.5564625249
126256,1248901.1836868662
103200,618853.9085572253
72217,1341415.5437161985
99834,627699.618353195
103624,70332.96812263131
68126,27230.124454904173
114322,1435380.5825903874
81087,143659.0270955534
117505,1081534.387167479
50349,173723.48954255908
2720,392929.25778595445
89477,196959.49253839714
71042,699563.2338378911
14080,73164.54742405441
39921,47636.72470606578
125766,598218.0035624441
115718,7872173.832993279
62079,49146.90675679181
218,119118.91124507482
49469,791283.618353195
136969,1372979.3525324322
86147,1247677.6534374016
10049,35630.21826408774
12801,-61447.29314847768
74803,309784.83682790975
19933,719783.5935412627
127331,318245.76604131184
26472,423606.0584245751
69291,1107574.161621327
140175,1355119.4890267614
129859,69562.83583135065
63081,-39335.362080834515
31706,185593.20868593588
91583,589171.2969786155
41181,195900.61774316366
50995,189726.1351166541
115,75141.58839789161
33263,1828082.380995983
107370,236265.04225170502
15180,315.08053265005583
116583,778567.7267733936
63993,342491.71516713087
124775,230635.02813189273
32715,226362.78663540963
147221,691886.2042991705
97941,101657.04287002177
48777,359367.12919948954
7930,955123.6183531953
150758,62283.03800351964
102030,946921.3243336978
105148,171334.40635153034
14567,1460500.8638223207
41037,-542385.4880132154
11170,380797.55304873973
147442,-84689.74322747524
51990,63718.556239336904
95442,554597.5230219602
32126,81060.18565353437
18381,227504.63007971132
53637,86765.77177053894
12193,78142.42769390601
43182,324293.5131209095
7559,-15455.421193434217
83872,1100531.6183531955
13282,811058.9516561802
102060,914356.4648353013
85953,693104.1781808238
16470,860154.3496662867
124253,-17701.637733479147
108118,-252341.16217887326
104500,668764.1929435055
151128,649489.1620985602
62471,1053921.6782493342
50990,682311.4051243265
71217,26839.25000260776
58342,244188.17715324677
147710,90693.00618110917
63955,752717.6915239771
49171,1029031.5935412629
47238,944306.864264529
93323,134332.17373162642
74229,585983.5927642875
135970,134307.2288942135
52556,1026509.9425107618
35133,256112.92517034203
95258,163964.50845348852
7910,763283.5824951297
65999,11072.41298261311
28327,106889.7530903421
79436,492825.0522291433
100362,27004.609377240937
40969,90548.87446191604
102264,240136.4281915996
52736,952957.2459725421
63793,609523.618353195
90665,-107749.95459201059
38791,691809.8731596798
50157,4830.648688003566
125538,507873.9720837846
24639,327406.43602171825
17410,830687.0169772143
126414,177390.03423681535
65877,530818.5691941541
22374,456302.80695534433
72728,658143.1224246805
